Timestamp	Date	Day of the Week	Midday or Night Shift	Shift Start Time	Shift End Time	Hours
11/29/2025 16:25:30	12/1/2025	Monday	Night	8:30:00 PM	11:30:00 PM	3
11/29/2025 16:26:08	12/2/2025	Tuesday	Midday	4:00:00 PM	6:00:00 PM	2
11/29/2025 16:27:18	12/2/2025	Tuesday	Night	10:15:00 PM	1:15:00 AM	3
11/29/2025 16:27:42	12/3/2025	Wednesday	Night	8:30:00 PM	11:30:00 PM	3
11/29/2025 16:28:22	12/4/2025	Thursday	Midday	4:00:00 PM	6:00:00 PM	2
11/29/2025 16:28:46	12/4/2025	Thursday	Night	10:15:00 PM	1:15:00 AM	3
11/29/2025 16:30:10	12/5/2025	Friday	Midday	5:00:00 PM	8:00:00 PM	3
11/29/2025 16:30:56	12/5/2025	Friday	Night	9:00:00 PM	12:00:00 AM	3
11/29/2025 16:31:37	12/7/2025	Sunday	Night	5:00:00 PM	8:00:00 PM	3
